"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","Contact__c","Bank_Product__c","Account_Age__c"
"a00B000000BcNxoIAF","0","ind_reca_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4OFIA1","a01B0000006xAbHIAU",""
"a00B000000BcNxpIAF","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY48XIAT","a01B0000006xAb2IAE",""
"a00B000000BcNxqIAF","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3oFIAT","a01B0000006xAb2IAE",""
"a00B000000BcNxrIAF","0","ind_ctpp_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4NmIAL","a01B0000006xAb8IAE",""
"a00B000000BcNy2IAF","0","ind_fond_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3gEIAT","a01B0000006xAbDIAU",""
"a00B000000BcNy3IAF","0","ind_tjcr_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3siIAD","a01B0000006xAbIIAU",""
"a00B000000BcNy4IAF","0","ind_tjcr_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY47oIAD","a01B0000006xAbIIAU",""
"a00B000000BcNy5IAF","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3eiIAD","a01B0000006xAb7IAE",""
"a00B000000BcNy6IAF","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3cOIAT","a01B0000006xAb2IAE",""
"a00B000000BcNy7IAF","0","ind_cno_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4HTIA1","a01B0000006xAb4IAE",""
"a00B000000BcNy8IAF","0","ind_ctpp_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3hlIAD","a01B0000006xAb8IAE",""
"a00B000000BcNy9IAF","0","ind_fond_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3xHIAT","a01B0000006xAbDIAU",""
"a00B000000BcNyAIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3sqIAD","a01B0000006xAb2IAE",""
"a00B000000BcNyBIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4WvIAL","a01B0000006xAb2IAE",""
"a00B000000BcNyCIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3SrIAL","a01B0000006xAb2IAE",""
"a00B000000BcNyDIAV","0","ind_dela_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4EdIAL","a01B0000006xAbBIAU",""
"a00B000000BcNyEIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY461IAD","a01B0000006xAb2IAE",""
"a00B000000BcNyFIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY44oIAD","a01B0000006xAb2IAE",""
"a00B000000BcNyGIAV","0","ind_recibo_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY46EIAT","a01B0000006xAbNIAU",""
"a00B000000BcNyHIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3XRIA1","a01B0000006xAb2IAE",""
"a00B000000BcNyIIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4ObIAL","a01B0000006xAb2IAE",""
"a00B000000BcNyJIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4ZxIAL","a01B0000006xAb2IAE",""
"a00B000000BcNyKIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4EIIA1","a01B0000006xAb2IAE",""
"a00B000000BcNyLIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3wZIAT","a01B0000006xAb2IAE",""
"a00B000000BcNyMIAV","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4OEIA1","a01B0000006xAb7IAE",""
"a00B000000BcNyNIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3PpIAL","a01B0000006xAb2IAE",""
"a00B000000BcNyOIAV","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3HdIAL","a01B0000006xAb7IAE",""
"a00B000000BcNyPIAV","0","ind_nom_pens_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3RfIAL","a01B0000006xAbMIAU",""
"a00B000000BcNyQIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3poIAD","a01B0000006xAb2IAE",""
"a00B000000BcNyRIAV","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3uXIAT","a01B0000006xAb7IAE",""
"a00B000000BcNySIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4WDIA1","a01B0000006xAb2IAE",""
"a00B000000BcNyTIAV","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY43TIAT","a01B0000006xAb7IAE",""
"a00B000000BcNyUIAV","0","ind_cno_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4KVIA1","a01B0000006xAb4IAE",""
"a00B000000BcNyVIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3dxIAD","a01B0000006xAb2IAE",""
"a00B000000BcNyWIAV","0","ind_cco_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4YTIA1","a01B0000006xAb2IAE",""
"a00B000000BcNyXIAV","0","ind_ecue_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4SdIAL","a01B0000006xAbCIAU",""
"a00B000000BcNyYIAV","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY4JlIAL","a01B0000006xAb7IAE",""
"a00B000000BcNyZIAV","0","ind_ctop_fin_ult1","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","005B0000006Mf6rIAC","2020-07-16 20:57:21","003B000000HY3m5IAD","a01B0000006xAb7IAE",""
